top-parent,Work
vsalm,Visual Studio ALM
whats-new,What's new
code,Code
build,Build
work,Work
test,Test
release,Release
design,Design
report,Report
install,Install
tfs,TFS
reference,Reference
agents,Agents
connect,Connect
backlogs,Backlogs
scrum,Scrum
kanban,Kanban
track,Track
scale,Scale
customize,Customize
customize-pt,Customize a process template
guidance,Guidance
configure,Configure features after an upgrade
import-process,Import process
manage-pt,Manage process templates
process-guidance,Process guidance
