contentId,locale,productFamily,productVersion,redirectPatternId,redirectUrl
ms253116,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd
ms253116,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd
ms253116,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd
ms253107,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#accounts
ms253107,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#accounts
ms253107,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#accounts
cc339672,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#authentication
cc339672,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#authentication
cc339672,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#authentication
ee349260,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#certificates
ee349260,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#certificates
ee349260,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#certificates
ee349260,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#certificates
ee349259,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#changeserverid
ee349259,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#changeserverid
ee349259,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#changeserverid
ee349259,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#changeserverid
dn280925,all,VS,140,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#codeindex
dn280925,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#codeindex
ee349263,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#collection
ee349263,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#collection
ee349263,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#collection
